"Reino","Filo","Classe","Ordem","Familia","Genero","Especie","Subespecie","Nome_Cientifico_Anterior","Autor","Nome_Comum","Grupo","Mes_Ano_Avaliacao","Categoria","Possivemente_Extinta","Criterio","Justificativa","Endemica_Brasil","Consta_em_Lista_Nacional_Oficial","Estado","Regiao","Bioma","Bacia_Hidrografica","Unidade_de_Conservacao_Federal","Unidade_de_Conservacao_Estadual","RPPN","Migratoria","Tendencia_Populacional","Ameaca","Uso","Acao_Conservacao","Plano_de_Acao","Listas_e_Convencoes","Altitude_min_max_","Barimetria_min_max_"
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla charon","","","Bueno & Moraes, 2017","","Invertebrados de Água Doce","05/2018","Criticamente em Perigo","Não","B2ab(iii)","Aegla charon é conhecida somente da localidade-tipo, a caverna “Lago Subterrâneo”, no município de Guapiara, São Paulo. Sua área de ocupação é muito restrita, estimada em menos de 10km2. Apesar de a caverna estar em uma unidade de conservação (Parque Estadual de Intervales), há estudos em outras cavernas da região que indicam poluição das águas por metais pesados decorrentes de atividade de mineração no entorno. Além disso, a presença de pleópodos nos machos da espécie sugere má formação decorrente de contaminação, já que essa não é uma característica dos machos do grupo. Considerando uma localização, a espécie foi categorizada como Criticamente em Perigo pelo critério B2ab(iii).","Sim","Sim","São Paulo","|Sudeste|","Mata Atlântica","Sub-bacia Paranapanema","","APA SERRA DO MAR, PARQUE ESTADUAL INTERVALES","","Não","Desconhecida","9 - Poluição|9.2 - Industrial|9.2.2 - Infiltraçao oriunda de mineração 9 - Poluição|9.2 - Industrial|9.2.3 - Contaminação por metais pesados","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação das Cavernas do Brasil","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","Adelophryne","Adelophryne maranguapensis","","Adelophryne maranguapensis","Hoogmoed, Borges & Cascon, 1994","Rãnzinha-pulga","Anfíbios","09/2018","Criticamente em Perigo","Não","B1ab(iii)","Adelophryne maranguapensis é endêmica do Brasil, conhecida somente da localidade-tipo (Pico da Rajada, na Serra de Maranguape) no estado do Ceará, em uma área restrita de floresta úmida (brejo de altitude) entre 800 e 900 metros de altitude. Sua extensão de ocorrência foi estimada em 2 km². A espécie é bromelígena e abundante localmente, contudo, sofre forte pressão antrópica devido à expansão urbana, com a construção de casas de veraneio, e de plantações de bananas, que atingem as porções mais altas da Serra, caracterizando declínio continuado na qualidade do seu hábitat. Toda sua distribuição é tida como apenas uma localização, considerando a principal ameaça a expansão dos plantios de banana. Por essas razões, Adelophryne maranguapensis foi avaliada como Criticamente em Perigo (CR) pelo critério B1ab(iii).","Sim","Sim","Ceará","|Nordeste|","Caatinga","Sub-bacia Litoral CE PI","","","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial|1.3 - Áreas de turismo e recreação 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.2 - Agricultura em pequenas propriedades 5 - Uso de recursos biológicos|5.2 - Coleta de plantas terrestres|5.2.2 - Efeitos indiretos (a espécie não é o alvo)","","Identificação de novas áreas protegidas, Plano de Ação Nacional (PAN), Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Entognatha","Collembola","Isotomidae","Archisotoma","Archisotoma arariboia","","","Neves & Mendonça, 2014","Colêmbolo, Pulga-de-jardim","Invertebrados Terrestres","05/2018","Criticamente em Perigo","Não","B1ab(iii)+2ab(iii)","Archisotoma arariboia é endêmica do Brasil, ocorrendo exclusivamente na zona entremarés da praia do Sossego, em Niterói, estado do Rio de Janeiro, região intensamente urbanizada. A principal ameaça à espécie é a degradação do ambiente relacionada ao intenso uso recreativo da praia, que inclui a poluição e pisoteio. A Extensão de Ocorrência e a Área de Ocupação são inferiores à 100km² (B1) e 10km2 (B2), respectivamente. Apresenta uma única localização (a) e declínio continuado da qualidade do habitat (biii). Por isso, A. arariboia foi categorizada como Criticamente em Perigo (CR) pelos critérios B1ab(iii)+2ab(iii).","Sim","Sim","Rio de Janeiro","|Sudeste|","","Sub-bacia Litoral RJ","","","","Desconhecido","Desconhecida","6 - Distúrbios humanos|6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais|7.3 - Outras modificações nos ecossistemas 9 - Poluição|9.4 - Lixo e resíduos sólidos|9.4.1 - Urbanos 9 - Poluição|9.4 - Lixo e resíduos sólidos|9.4.2 - Industriais","","","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Entognatha","Collembola","Arrhopalitidae","Arrhopalites","Arrhopalites glabrofasciatus","","","Zeppelini, Brito & Lima, 2018","","Invertebrados Terrestres","05/2018","Em Perigo","","B1ab(iii)+2ab(iii)","Arrhopalites glabrofasciatus é espécie endêmica do Brasil, registrada em rocha calcárea e ferrífera nos municípios de Nova Lima, Matozinhos e Santa Bárbara, Minas Gerais. A Extensão de Ocorrência foi calculada em 1.233km2 e a Área de Ocupação, estimada em menos de 10km2. A principal ameaça à espécie é a intensa atividade de mineração da região, que provoca forte declínio da qualidade de hábitat. Considerando 3 localizações, A. glabrofasciatus foi categorizada como Em Perigo (EN) pelos critérios B1ab(iii)+2ab(iii).","Sim","Sim","Minas Gerais","|Sudeste|","Cerrado, Mata Atlântica","Sub-bacia Doce Sub-bacia São Francisco Alto","PARNA da Serra do Gandarela","ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH","","Não","Desconhecida","3 - Produção energética e mineração|3.2 - Mineração|3.2.3 - Extração de minérios - subsolo","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação das Cavernas do Brasil","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Entognatha","Entomobryomorpha","Isotomidae","Archisotoma","Archisotoma catiae","","Archisotoma catiae","Abrantes & Mendonça, 2007","Colêmbolo, Pulga-de-jardim","Invertebrados Terrestres","05/2018","Criticamente em Perigo","Não","B2ab(iii)","Archisotoma catiae é endêmica do Brasil, ocorrendo exclusivamente nas dunas da restinga da praia da Barra de Maricá, estado do Rio de Janeiro, região intensamente urbanizada. Apesar de estar dentro de uma APA, a área sofre intensa expansão urbana e incêndios frequentes na vegetação de restinga. A principal ameaça à espécie é a degradação do ambiente. Sua Área de Ocupação é inferior à 10km2 (B2), com uma única localização (a) e declínio continuado da qualidade do habitat (biii). Por isso, A. catiae foi categorizada como Criticamente em Perigo (CR) pelo critério B2ab(iii).","Sim","Sim","Rio de Janeiro","|Sudeste|","","","","","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial|1.3 - Áreas de turismo e recreação 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.3 - Tipo desconhecido","","","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Entognatha","Symphypleona","Arrhopalitidae","Arrhopalites","Aethiopella littoralis","","Aethiopella littoralis","Fernandes & Mendonça, 2002","Colêmbolo, Pulga-de-jardim","Invertebrados Terrestres","05/2018","Criticamente em Perigo","Não","B2ab(iii)","Aethiopella litoralis é endêmica do Brasil, ocorrendo exclusivamente nas dunas da restinga da praia da Barra de Maricá, estado do Rio de Janeiro, região intensamente urbanizada. Apesar de estar dentro de uma APA, a área sofre intensa expansão urbana e incêndios frequentes na vegetação de restinga. A principal ameaça à espécie é a degradação do ambiente. Sua Área de Ocupação é inferior à 10km2 (B2), com uma única localização (a) e declínio continuado da qualidade do habitat (biii). Por isso, A. litoralis foi categorizada como Criticamente em Perigo (CR) pelo critério B2ab(iii).","Sim","Sim","Rio de Janeiro","|Sudeste|","Mata Atlântica","Sub-bacia Litoral RJ","","ÁREA DE PROTEÇÃO AMBIENTAL DE MARICÁ","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.3 - Tipo desconhecido","","","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Entognatha","Symphypleona","Arrhopalitidae","Arrhopalites","Agraphorura mariapetrae","","Agraphorura mariapetrae","(Thibaud, 1993)","Colêmbolo, Pulga-de-jardim","Invertebrados Terrestres","05/2018","Criticamente em Perigo","Não","B2ab(iii)","Agraphorura mariapetrae ocorre nas Antilhas e no Brasil, onde é registrada em áreas alagadas e substrato de dunas da restinga de Itaipuaçu, estado do Rio de Janeiro, na APA de Maricá, região intensamente urbanizada. Apesar de estar dentro de uma APA, a área é impactada por intensa expansão urbana e incêndios frequentes na vegetação de restinga. A principal ameaça à espécie é a degradação do ambiente. Sua Área de Ocupação é inferior à 10km² (B2), com uma localização (a) e declínio continuado da qualidade do habitat (biii). Por isso, A. mariapetrae foi categorizada como Criticamente em Perigo (CR) pelo critério B2ab(iii).","Não","Sim","Rio de Janeiro","|Sudeste|","","Sub-bacia Litoral RJ","","ÁREA DE PROTEÇÃO AMBIENTAL DE MARICÁ","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios","","","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Entognatha","Entomobryomorpha","Isotomidae","Arlea","Arlea arenicola","","Arlea arenicola","Abrantes & Mendonça, 2005","Colêmbolo, Pulga-de-jardim","Invertebrados Terrestres","05/2018","Criticamente em Perigo","Não","B2ab(iii)","Arlea arenicola é endêmica do Brasil, ocorrendo exclusivamente nas dunas da restinga da praia da Barra de Maricá, estado do Rio de Janeiro, região intensamente urbanizada. Apesar de estar dentro de uma APA, a área sofre intensa expansão urbana e incêndios frequentes na vegetação de restinga. A principal ameaça à espécie é a degradação do ambiente. Sua Área de Ocupação é inferior à 10km² (B2), com uma única localização (a) e declínio continuado da qualidade do habitat (biii). Por isso, A. arenicola foi categorizada como Criticamente em Perigo (CR) pelo critério B2ab(iii).","Sim","Sim","Rio de Janeiro","|Sudeste|","","","","","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios","","","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Entognatha","Symphypleona","Arrhopalitidae","Arrhopalites","Arlesia intermedia","","Arlesia intermedia","Fernandes & Mendonça, 2004","Colêmbolo, Pulga-de-jardim","Invertebrados Terrestres","05/2018","Criticamente em Perigo","Não","B2ab(iii)","Arlesia intermedia é endêmica do Brasil, ocorrendo em substrato de dunas e áreas alagáveis da praia de Itaipuaçu, na APA de Maricá, estado do Rio de Janeiro, região intensamente urbanizada. Apesar de estar dentro de uma APA, a área sofre intensa expansão urbana e incêndios frequentes na vegetação de restinga. A principal ameaça à espécie é a degradação do ambiente. Sua Área de Ocupação é inferior à 10km² (B2), com uma única localização (a) e declínio continuado da qualidade do habitat (biii). Por isso, A. intermedia foi categorizada como Criticamente em Perigo (CR) pelo critério B2ab(iii).","Sim","Sim","Rio de Janeiro","|Sudeste|","","Sub-bacia Litoral RJ","","ÁREA DE PROTEÇÃO AMBIENTAL DE MARICÁ","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios","","","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Entognatha","Entomobryomorpha","Isotomidae","Arlea","Arlea psammophila","","Arlea psammophila","Mendonça, Abrantes & Fernandes, 2006","Colêmbolo, Pulga-de-jardim","Invertebrados Terrestres","05/2018","Criticamente em Perigo","Não","B2ab(iii)","Arlea psammophila é endêmica do Brasil, ocorrendo em cordão arenoso, próximo à linha de marés da praia da Barra de Maricá, estado do Rio de Janeiro, região intensamente urbanizada. Apesar de estar dentro de uma APA, a área sofre intensa expansão urbana e incêndios frequentes na vegetação de restinga. A principal ameaça à espécie é a degradação do ambiente. Sua Área de Ocupação é inferior à 10km² (B2), com uma única localização (a) e declínio continuado da qualidade do habitat (biii). Por isso, A. psammophila foi categorizada como Criticamente em Perigo (CR) pelo critério B2ab(iii).","Sim","Sim","Rio de Janeiro","|Sudeste|","","","","","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios","","","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Arachnida","Araneae","Segestriidae","Ariadna","Ariadna aurea","","","Giroti & Brescovit, 2018","","Invertebrados Terrestres","05/2018","Vulnerável","","D2","Ariadna aurea é conhecida apenas para a localidade-tipo, a gruta dos Brejões, em São Gabriel (Bahia). Embora encontre-se aparentemente em bom estado de conservação, uma ameaça plausível é a mineração, já que existem vários polígonos minerários no entorno da caverna com solicitação e autorização de pesquisa. A atividade pode impactar o habitat da espécie. Sua área de ocupação, estimada a partir da extensão da caverna (7,5km), é de menos de 10km². Por esses motivos, foi categorizada como Vulnerável (VU) segundo o critério D2.","Sim","Sim","Bahia","|Nordeste|","Caatinga","Sub-bacia São Francisco Médio","","ÁREA DE PROTEÇÃO AMBIENTAL GRUTAS DOS BREJÕES / VEREDAS DO ROMÃO GRAMACHO","","Não","Desconhecida","3 - Produção energética e mineração|3.2 - Mineração|3.2.3 - Extração de minérios - subsolo","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação das Cavernas do Brasil","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Amphibia","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus apiau","","","Fouquet, Souza, Nunes, Kok, Curcio, Carvalho, Grant & Rodrigues, 2015","","Anfíbios","06/2017","Em Perigo","","B1ab(iii)+2ab(iii)","Anomaloglossus apiau é endêmica do Brasil, do bioma Amazônia, com registro de ocorrência somente para a Serra do Apiaú, uma região serrana isolada por florestas de baixada e ecossistemas savânicos no estado de Roraima. A espécie é abundante no local. Sua extensão de ocorrência foi considerada equivalente à área da serra, 150 km2, e sua área de ocupação certamente é menor do que esse valor, já que ela foi registrada somente acima de 500 metros de altitude. Embora as áreas acima de 200 metros estejam ainda relativamente bem preservadas, todo o entorno da serra sofre pressão de extração de madeira, desmatamento e ocupação pela atividade agropecuária, levando ao declínio continuado da qualidade do hábitat. Considerando o fogo utilizado em práticas agrícolas como a principal ameaça, foi definida apenas uma localização. Por essas razões, Anomaloglossus apiau foi avaliada como Em Perigo (EN) pelos critérios B1ab(iii)+2ab(iii).","Sim","Sim","Roraima","|Norte|","Amazônia","Sub-bacia Negro","","","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 5 - Uso de recursos biológicos|5.3 - Extração florestal 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios","","Plano de Ação Nacional (PAN)","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Amphibia","Anura","Aromobatidae","Anomaloglossus","Anomaloglossus tepequem","","","Fouquet, Souza, Nunes, Kok, Curcio, Carvalho, Grant & Rodrigues, 2015","","Anfíbios","06/2017","Criticamente em Perigo","Sim","B1ab(iii)","Anomaloglossus tepequem é endêmica do Brasil, do bioma Amazônia, conhecida apenas para a Serra do Tepequém, no estado de Roraima. A espécie foi registrada somente acima de 500 metros de altitude e sua extensão de ocorrência foi estimada em 50 km2. Embora sua descrição seja relativamente recente (2015), seus registros são históricos. Nos anos de 1986 e 1992 a espécie era abundante e facilmente encontrada no local. Entre os anos de 1985 e 1990 houve intensa atividade minerária para extração de ouro, que atingiu até o topo da serra, impactando fortemente o hábitat da espécie. Expedições mais recentes, em 2011 e 2013, na mesma localidade não resultaram no encontro da espécie, que presumivelmente desapareceu. Após a atividade de mineração, a região tem sofrido declínio continuado da qualidade do hábitat em função da ocupação humana, pecuária e constantes queimadas. Considerando uma única localização, tendo o fogo como principal ameaça, Anomaloglossus tepequem foi avaliada como Criticamente em Perigo (CR) pelo critério B1ab(iii), estando possivelmente extinta (PEX).","Sim","Sim","Roraima","|Norte|","Amazônia","Sub-bacia Negro","","","","Não","Declinando","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 3 - Produção energética e mineração|3.2 - Mineração|3.2.4 - Extração de minérios - garimpo 6 - Distúrbios humanos|6.1 - Atividades recreacionais/turísticas 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.3 - Tendência desconhecida","","Plano de Ação Nacional (PAN)","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Actinopterygii","Siluriformes","Loricariidae","Ancistrus","Ancistrus minutus","","Ancistrus minutus","Fisch-Muller, Mazzoni & Weber, 2001","","Peixes Continentais","11/2018","Em Perigo","","B1ab(i,iii)","Ancistrus minutus é endêmica do Brasil, conhecida de poucas localidades muito próximas entre si, na bacia do alto rio Tocantins, na região da Serra da Mesa, estado de Goiás. A área tem sido amostrada desde a descrição da espécie, em 2001, sem terem sido feitos novos registros taxonomicamente confiáveis de A. minutus. Todas as localidades da espécie estão a montante da barragem da UHE Serra da Mesa, restando apenas dois registros fora da sua área de inundação. A localidade-tipo da espécie (córrego Bateias) atualmente está inundada pelo reservatório. Assumindo extirpações locais na área de inundação da hidrelétrica e que a espécie ficou restrita a pequenos riachos a montante da área de inundação, sua Extensão de Ocorrência (EOO) foi calculada em 1.624 km2. Além disso, A. minutus sofre com ameaças difusas como a degradação ambiental, a agropecuária e a urbanização. Portanto, houve uma fragmentação da população em função da UHE e há um declínio continuado da extensão de ocorrência e qualidade do habitat. Desta forma, A. minutus foi categorizada como Em Perigo (EN), sob o critério B1ab(i,iii).","Sim","Sim","Goiás","|Centro-Oeste|","Cerrado","Sub-bacia Tocantins Alto","","","","Não","Declinando","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 3 - Produção energética e mineração|3.3 - Energia renovável|3.3.1 - Hidrelétricas","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para Conservação das Espécies Ameaçadas de Extinção da Ictiofauna, Herpetofauna e Primatas do Cerrado e Pantanal","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Akodon","Akodon mystax","","","Hershkovitz, 1998","Caparaó Grass Mouse, Rato-do-chão do Caparaó","Mamíferos","06/2013","Vulnerável","","D2","Akodon mystax é endêmico do Brasil, conhecido somente na localidade tipo, Parque Nacional do Caparaó, em área de altitude elevada, acima de 1800m. A espécie ocorre em apenas uma localização. A área recebe constantemente visitação estando sujeita a incêndios antropogênicos. Além disso, por ser apenas uma população está sujeita a eventos estocásticos como epizootias ou mudanças ambientais. Estas são ameaças plausíveis que poderão levar a espécie à categoria de Criticamente em Perigo ou Extinta em futuro próximo. Desta forma, a espécie foi classificada como Vulnerável (VU) pelo critério D2.","Sim","Não","","||","","","","","","","Desconhecida","","","","","","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla renana","","","Bond-Buckup & Santos, 2010","Egla","Invertebrados Marinhos","09/2010","Criticamente em Perigo","Não","B2ab(iii)","Sua área de ocupação (AOO) foi estimada em menos de 10 km2. Após coletas em bacias hidrográficas próximas e contíguas constatou-se que a espécie ocorre somente em uma localidade/localização. O curso d´água onde a espécie ocorre é próximo à cidade de Nova Petrópolis, RS e sofre impacto de ações antrópicas, especialmente a destruição da mata ciliar e o assoreamento do curso d’água que descaracterizam o habitat. A fragmentação e o constante declínio na qualidade do habitat são potenciais ameaças a sua existência.","Sim","Não","","||","Mata Atlântica","","","","","","Desconhecida","9 - Poluição|9.1 - Doméstica e urbana - escoamento de água","","Controle e fiscalização, Educação e comunicação","","","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla brevipalma","","Aegla brevipalma","Bond-Buckup & Santos, 2012","Egla","Invertebrados de Água Doce","10/2019","Criticamente em Perigo","Não","B1ab(iii)","Aegla brevipalma é endêmica do Brasil e conhecida em uma única localidade, no Rio Matador, Município de Bom Retiro (SC). A extensão de ocorrência foi calculada em 3 km² e foi identificada uma localização a partir da principal ameaça, que é o avanço das atividades agropecuárias, com substituição da vegetação nativa por silvicultura. A região onde a espécie ocorre está sujeita ao declínio continuo da qualidade de habitat, devido à criação de bovinos e suínos nas imediações do curso d’água. Por isso, A. brevipalma foi categorizada como Criticamente em Perigo (CR), segundo o critério B1ab(iii).","Sim","Sim","Santa Catarina","|Sul|","Mata Atlântica","Sub-bacia Uruguai Alto","","","","Não","Declinando","2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.1 - Plantações em pequenas propriedades 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.2 - Pecuária em pequenas propriedades 9 - Poluição|9.3 - Agropecuária e florestal|9.3.1 - Acúmulo de nutrientes 9 - Poluição|9.3 - Agropecuária e florestal|9.3.2 - Erosão do solo/sedimentação","","Plano de Ação Nacional (PAN), Proteção de locais/áreas","Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla camargoi","","Aegla camargoi","Buckup & Rossi, 1977","Egla","Invertebrados de Água Doce","10/2019","Em Perigo","","B1ab(iii)","Aegla camargoi é endêmica do Brasil, ocorrendo no Nordeste do Rio Grande do Sul (sub-bacia Rio Pelotas) e Planalto de Santa Catarina (sub-bacia do Rio Pelotas). A extensão de ocorrência (EOO) foi calculada em 3.085 km2 a partir da área do mínimo polígono convexo formado pelas microbacias onde a espécie já foi registrada. A expansão da pecuária e silvicultura, com a supressão da mata ciliar na região onde ocorre a espécie são as principais ameaças, que fragmentaram severamente a população e provocaram o declínio continuado da qualidade do habitat. Portanto, A. camargoi foi categorizada como Em Perigo (EN), considerando o critério B1ab(iii).","Sim","Sim","Rio Grande do Sul, Santa Catarina","|Sul|","Mata Atlântica","Sub-bacia Guaíba Sub-bacia Litoral SP PR SC Sub-bacia Uruguai Alto","","","","Não","Desconhecida","2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla franca","","","Schmitt, 1942","Egla","Invertebrados Marinhos","09/2013","Criticamente em Perigo","Não","B2ab(iii)","O estado de conservação de Aegla franca foi avaliado de acordo com os critérios da IUCN (2001), com base em informações recentes sobre a biologia e dados sobre a área de ocupação da espécie. A espécie é endêmica de córregos pertencentes à microbacia do rio Canoas (municípios de Franca, SP, e Claraval, MG), conhecida de apenas sete córregos afluentes do rio Canoas (sete localizações). A população encontra-se fragmentada e a área de ocupação é muito inferior a 10km². Observa-se um processo de degradação ambiental em andamento, causada principalmente pelos seguintes fatores: eliminação da mata ciliar que acompanha os córregos, intensa atividade de agricultura e criação de gado e presença de indústrias de processamento do couro, com descarte de resíduos altamente poluidores e tóxicos em rios e córregos da região. A categoria proposta para o táxon é “Criticamente Em Perigo (CR)” segundo o critério B2ab(iii).","Sim","Não","","||","","","","","","","","1 - Desenvolvimento residencial e comercial|1.2 - Áreas comerciais e industriais 2 - Agropecuária e Aquacultura|2.3 - Pecuária 4 - Transportes e serviços de transmissão|4.1 - Estradas e ferrovias","","Educação e comunicação","","","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla inconspicua","","Aegla inconspicua","Bond-Buckup & Buckup, 1994","Egla","Invertebrados de Água Doce","10/2019","Vulnerável","","B1ab(iii)","Aegla inconspicua é uma espécie endêmica do Brasil, distribuída no nordeste do estado do Rio Grande do Sul, nas Bacias dos Rios Sinos e Caí. A extensão de ocorrência (EOO) foi calculada em 12.623 km2 a partir da área do mínimo polígono convexo formado pelas microbacias onde a espécie já foi registrada. A região de ocorrência da espécie é impactada por intensa atividade agropecuária e urbanização, que resultam em perda da qualidade do habitat e fragmentação da população. Por essas razões, A. inconspicua foi categorizada como Vulnerável (VU), pelo critério B1ab(iii).","Sim","Sim","Rio Grande do Sul","|Sul|","Mata Atlântica, Pampa","Sub-bacia Guaíba","","ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida","","Plano de Ação Nacional (PAN), Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
